time,err_norm,u_norm
0,14.139326350761502,0.9234005977693376
1,9.321825116820783,3.123286189515628
2,11.290852861165884,2.4802439278280195
3,10.222698184222383,3.0788236692628153
4,10.848849108959604,2.4676884677240296
5,10.60578826407853,3.10939106918048
6,11.025061535021447,2.4089604730423106
7,11.194139114628523,3.2008664215455997
8,11.832430664637688,2.2943069548912645
9,12.577044228542128,3.371975157897121
10,13.966428681085729,2.1031579365934907
11,15.8942041590647,3.6702543918145567
12,18.972756249758547,1.8099553569536937
13,23.244970932283245,4.186731717017928
14,29.547428848116674,1.462239320354456
15,38.120175561514394,5.087662795169083
16,50.239256679170495,1.6102235685953041
17,66.603305627613,6.672468180159636
18,89.29963246778428,3.2626581861486583
19,119.98991066481231,9.477091224836395
20,162.2347167939908,6.8629006021978105
21,219.5815754871529,14.463079192787136
22,298.3085731390274,13.474745127222855
23,405.57986298225904,23.369270007550885
24,552.757444960907,25.381606241570918
25,753.8985826121532,39.36476000307711
26,1029.953057734655,46.85306452942351
27,1408.0947173527668,68.25759698187174
28,1927.4367437414305,85.75857519747623
29,2640.1140889620046,120.7356756959382
30,3619.746575372685,156.61368675379762
31,4966.007469937711,216.53384983225388
32,6818.2039031897375,286.2657526883625
33,9366.63920311851,392.20356766491375
34,12875.861987775183,524.5113065864538
35,17709.14805336882,715.6316372190455
36,24370.153509456566,963.9576004086224
37,33552.63628704253,1313.2241271160244
38,46217.27996641337,1777.2444715762913
39,63689.90365097542,2420.895046448838
40,87805.65021806378,3286.92037444239
41,121100.3181334987,4479.864326866397
42,167083.7583977177,6096.829074210405
43,230610.07486915897,8316.921209151142
44,318399.0902614574,11339.52070805908
45,439750.23807174683,15484.112707952205
46,607540.6444360237,21142.790342061497
47,839599.6922188534,28899.708919674566
48,1160623.3609510579,39510.55888461983
49,1604819.3295868828,54059.167014490566
50,2219583.6196729844,73988.09645306625
51,3070590.061806894,101325.66696242627
52,4248857.943348407,138813.55064147123
53,5880545.8998127375,190267.43017322893
54,8140546.94081658,260888.76701927022
55,11271339.572933251,357879.3128230476
56,15609151.615591716,491102.8786338408
57,21620254.204884432,674182.4747553815
58,29951334.598027144,925827.7731151498
59,41499391.877007686,1271850.5727505346
60,57508751.46148558,1747759.3960969683
61,79705706.68479043,2402523.6506581963
62,110485415.69070745,3303582.003305866
63,153171327.1476512,4543938.876024568
64,212375324.2825811,6251774.132565522
65,294497693.683825,8603894.100445554
66,408421263.6576655,11844118.533386588
67,566475143.7787433,16308857.231741298
68,785772861.7335871,22462250.922742788
69,1090070401.3676107,30944900.184823584
70,1512346264.8633504,42641005.404374085
71,2098384247.86198,58771328.32006012
72,2911748823.9775624,81021483.82014155
73,4040694652.528951,111719455.76524399
74,5607762409.975609,154080817.16957143
75,7783105733.583357,212547964.88396227
76,10803000586.864573,293259034.96197385
77,14995552997.968782,404696598.539036
78,20816405586.272953,558584739.2234334
79,28898332987.41538,771130211.6805247
80,40120130184.96183,1064739424.110818
81,55702300833.81546,1470394384.226967
82,77339974436.65604,2030940451.6294382
83,107387540277.69888,2805636769.3919826
84,149115125245.04276,3876454562.206927
85,207064877141.3702,5356796045.693236
86,287545899651.4279,7403565068.0085
87,399321807212.7026,10233880093.09051
88,554565877712.1537,14148216799.425228
89,770187970521.1135,19562457335.743362
90,1069677932151.5354,27052277756.12555
91,1485666557105.975,37414629569.76562
92,2063483456263.72,51752905653.74564
93,2866099952605.783,71594925012.23221
94,3980996244752.36,99056396479.45
95,5529702045693.769,137067410855.20044
96,7681051633667.477,189686288562.19193
97,10669599585227.629,262534509039.76526
98,14821206638839.861,363399479974.29065
99,20588587632386.02,503069977770.1901
100,28600700682452.95,696494153566.1299
101,39731367404809.39,964384760193.643
102,55194612913187.14,1335444466581.9255
103,76677130699855.25,1849450998459.0505
104,106522329656936.92,2561534602258.0034
105,147986050796729.94,3548109002974.4766
106,205591864316666.94,4915095527962.354
107,285624727568361.06,6809327707530.77
108,396816887906198.56,9434367230480.26
109,551300900182683.25,13072438813080.994
110,765933787922348.1,18114852932360.06
111,1064136893409734.0,25104203096255.37
112,1478452258485074.2,34792897765707.156
113,2054094601082347.0,48224354162742.79
114,2853886642793907.0,66845633469100.836
115,3965116566803801.0,92663700121626.48
116,5509066232361186.0,128462210960302.42
117,7654250353067509.0,178102294988594.4
118,1.063481199731335e+16,246939882343360.28
119,1.4776082726171006e+16,342404768591352.6
120,2.053009791319743e+16,474804127646595.25
121,2.8524944699972796e+16,658437515346721.4
122,3.963333030628926e+16,913144176474826.0
123,5.506785693586192e+16,1266450346618391.2
124,7.651340542973186e+16,1756549316316037.8
125,1.0631108150319325e+17,2436437364938011.5
126,1.4771380825641782e+17,3379654087115073.0
127,2.0524147139389683e+17,4688249748259313.0
128,2.8517439338762246e+17,6503844033458550.0
129,3.962390165506156e+17,9022976160918000.0
130,5.505606618394761e+17,1.2518412288122296e+16
131,7.649873917574294e+17,1.7368723089465892e+16
132,1.06292952618101e+18,2.4099342652990476e+16
133,1.4769156637950682e+18,3.3439567087593348e+16
134,2.052144297046876e+18,4.640168306393583e+16
135,2.851418817841508e+18,6.439082125870144e+16
136,3.96200476490375e+18,8.935746886659622e+16
137,5.505158055895361e+18,1.2400921219235408e+17
138,7.649364596903426e+18,1.7210471924494336e+17
139,1.0628736915179424e+19,2.3886191374820467e+17
140,1.4768576569333948e+19,3.315247089503853e+17
141,2.0520893542908776e+19,4.601499132501673e+17
142,2.8513761061959823e+19,6.386998665707884e+17
143,3.961989501553524e+19,8.865596229901356e+17
144,5.505194636503125e+19,1.2306436813693919e+18
145,7.649491182803259e+19,1.708321409484745e+18
146,1.0629012122685055e+20,2.3714793918272845e+18
147,1.4769089178326277e+20,3.292162656357954e+18
148,2.0521776529834118e+20,4.570408573463334e+18
149,2.8515211811062746e+20,6.34512588408104e+18
150,3.9622204337181065e+20,8.809202795705671e+18
151,5.505554004345854e+20,1.223048848842252e+19
152,7.650040996205105e+20,1.6980931847365796e+19
153,1.0629842279707084e+21,2.3577049442511106e+19
154,1.4770329493234356e+21,3.2736128472651583e+19
155,2.0523613810212722e+21,4.545428398622083e+19
156,2.851791406458343e+21,6.311486989243043e+19
157,3.962615503468027e+21,8.763904943418065e+19
158,5.506128655183096e+21,1.2169492317906125e+20
159,7.650873192433185e+21,1.6898799165631224e+20
160,1.0631042856839796e+22,2.3466459073356212e+20
161,1.4772055744533362e+22,3.258722464348455e+20
162,2.0526088610519854e+22,4.525379937289324e+20
163,2.8521452765208805e+22,6.284494545468374e+20
164,3.963120325736043e+22,8.72756462913549e+20
165,5.506847325996122e+22,1.2120568562136997e+21
166,7.651894389684871e+22,1.6832937176754857e+21
167,1.0632491484258602e+23,2.337779797243296e+21
168,1.477410757038373e+23,3.24678769883134e+21
169,2.0528990774220697e+23,4.5093150974639294e+21
170,2.8525552489736555e+23,6.262871350210365e+21
171,3.9636988032412056e+23,8.698461244295884e+21
172,5.5076627054292215e+23,1.2081399202418298e+22
173,7.653042576231461e+23,1.6780222938879103e+22
174,1.0634106878829506e+24,2.3306858655024725e+22
175,1.4776378422657676e+24,3.237241668969251e+22
176,2.0532180628907094e+24,4.496470090357365e+22
177,2.8530030135158223e+24,6.245588286848899e+22
178,3.9643269310197054e+24,8.675208141483408e+22
179,5.508543321216279e+24,1.2050115806766246e+23
180,7.654276487530328e+24,1.6738138786704024e+23
181,1.0635834934131347e+25,2.3250248558872548e+23
182,1.4778797352721728e+25,3.229627216601033e+23
183,2.0535565135922928e+25,4.486228869255104e+23
184,2.8534763688021575e+25,6.23181518154628e+23
185,3.9649887069474764e+25,8.656686572395698e+23
186,5.5094681852182235e+25,1.2025210715167313e+24
187,7.655568594141311e+25,1.6704652915975325e+24
188,1.0637639538396381e+26,2.3205229469348995e+24
189,1.4781316987800408e+26,3.223575313115913e+24
190,2.053908214565556e+26,4.478094087400572e+24
191,2.853967160689083e+26,6.220881740787854e+24
192,3.965673431870411e+26,8.641993143442463e+24
193,5.5104232579061215e+26,1.200546635452265e+25
194,7.656900471870758e+26,1.667812428756988e+25
195,1.0639496511520078e+27,2.3169589573061507e+25
196,1.4783905591142146e+27,3.2187878437375715e+25
197,2.054268999973407e+27,4.471663931951899e+25
198,2.854469920546929e+27,6.212246376316449e+25
199,3.966373926323348e+27,8.63039786007894e+25
