gene,r_spearman
C12orf75,-0.19765256809598733
KCNS3,-0.022518080298518196
FAM120C,-0.04717197358207495
OSTM1,-0.052538783927045724
POLR2B,-0.05024729205997837
RARA,0.1182026904176859
RAB28,-0.06827079202087115
KLHL9,-0.016158022420886823
GPAA1,0.0178850815501516
PTK7,-0.1509438992632848
ADGRG2,-0.14947829643464922
PUM2,0.028354655074269552
NCAPG,-0.032095793700964284
SAGE1,-0.057772375840928994
TCP11L1,-0.03826559701448471
CDC26,-0.030490819196114613
CD27,0.0161910287304033
GJB3,-0.13857152315652982
BDKRB2,-0.0345703476451613
OSBPL3,-0.2739654333236762
DCUN1D4,0.03541013168026015
DNAI1,0.013793057645290747
CSRNP2,-0.15091180287617886
RAD51B,-0.01054520785734236
TAF4,0.06330832956846845
MAPK11,-0.0171573642408454
MT1X,-0.007791993115602908
NBEA,-0.001537976929573121
OXCT2,-0.09932205597393995
C17orf100,-0.003454005236497089
PCDHGB6,0.04279292997658686
ZFAND2A,-0.011799108696567178
PPFIBP2,0.008300301496892426
ZFP42,-0.13484201002529284
ADCY5,-0.24637800338210983
MAPK15,-0.3302987692025345
ZNF771,0.019350287285980133
RECQL,-0.11167525003536412
SSH2,0.033542755202653936
KLC2,0.014919668374158262
SUPT7L,0.03963868637217119
AP4S1,0.05993362185991358
SEC23IP,-0.07952924452618321
PNCK,-0.11195048973006502
TES,-0.2596979984300437
PAPLN,-0.008928015406729538
TXLNA,0.010194666607066956
DLEC1,-0.2644191827859932
PRDX3,0.07749336516390858
THYN1,-0.03578563106755457
SMIM10,-0.021718982897019113
KCNA7,0.00029691949179969166
ALX3,0.028440518670990043
ENO4,-0.05882707745614268
CHAMP1,0.041234573108337065
IRF5,0.0316420816632126
FTMT,0.0009919311309961678
PLEKHA7,-0.04272107934559664
UCK1,-0.02568050946812664
IRAK2,-0.2646072237723208
AATK,0.005727643000115895
OARD1,-0.0026688397273856414
THUMPD3,0.009021475329051627
LINC02913,-0.03310274636436514
RNF2,-0.040096052509459294
POLD1,-0.04403203988039489
DDX53,0.012962172645006067
KBTBD2,0.02768757923955553
KIAA0355,0.13623380874999846
AADAT,-0.3932243859778695
NDUFV3,0.027615808392095115
CAMKK1,0.0032935695519688583
GSK3A,0.007638909288695615
WDR82,0.05519007105611295
RNF145,-0.14956223395814744
ANLN,-0.15639646703889926
PHF10,-0.018321959503046766
RASGEF1C,0.018333747244562618
GNG8,-0.04612946064298222
C19orf48,0.05793973710521614
VARS2,0.01392285333929249
SLC25A11,0.014289545902361837
SPOCK1,-0.06826933716628424
HMMR,0.021520555350510284
XIAP,-0.006035016240662122
TOB2,0.06251621596265534
LEF1,-0.19665471792683253
COG8,-0.011741924341245078
TEX14BP,-0.014300851365893623
PRMT8,-0.021161913425078248
BLM,-0.048391450559881706
WDR74,0.0852183236934816
FBXW11,-0.026358536423211742
ROCK2,0.07073108085075364
NRN1,-0.16474512106279224
SIDT2,0.04915019151695318
AGPAT2,0.01206326853529305
GDF11,0.03884392160405418
SFRP1,-0.38180350674720337
DRD5,-0.0027726342283306434
AK4,-0.054172334935389345
CEP19,0.059000967154714916
NLGN1,-0.20812771492341367
TSPAN12,-0.05368136390505853
ACTB,0.0009756450387435148
RFC1,0.06787639060039434
PDXP,0.012521185062012975
LUZP1,-0.21022915865774983
PFDN6,-0.036337064698854976
TRMT11,-0.0045505957866705405
ACTL6A,-0.05656380745450408
ARID3A,0.0799273067110213
MYADML,-0.01057108845657746
TEAD1,-0.044359135021698755
ANKRD13D,0.03142414514430568
PTGES2,-0.028846285650534324
DIP2C,0.014390134545879703
TMEM61,-0.19450629381883167
NLRC3,-0.03838671173413663
RNF167,-0.01938532495693539
SYPL2,-0.03061248071314449
PDP2,0.015258851594773314
DOK4,-0.02024283721917633
TMEM186,-0.022190384287577077
PCBP1,0.01563987796652939
NWD2,0.03247273210573706
PGBD4,-0.01674913875241532
PHYHD1,-0.5414499732453822
TEX12,0.005718071937865311
CWF19L1,0.10447488846028848
IFNLR1,-0.002903770915953123
PRSS50,-0.017026804299925258
FOXD4L1,0.2122082422016469
HERC2P2,0.01622730476560001
ERBB2,0.07227715142851601
THBD,-0.07305560700504383
RNF215,0.03482114361623309
MRPL45,-0.18315716397169757
LDHAL6A,0.0688444623687952
ZMPSTE24,-0.03643549676586166
GTF2H2C_2,-0.020808702155422597
QRICH2,-0.00619514896541117
RINL,-0.13722691386715863
TNFRSF19,-0.1567699374061755
MRVI1,0.0005027086108800445
MPHOSPH9,0.008005267660649842
TMEM170A,-0.052856780795373884
ACTRT3,-0.07356290561658585
CST3,-0.2807671385112632
RNF19A,0.0021128658854646398
HAGH,0.0459497005687316
BCAR1,-0.002563706505197816
BUB1,0.05223045021183631
COL24A1,-0.0109858209218973
HLTF,-0.10735789211569735
RPS13,0.044702332018738695
LOC283683,-0.1449287767230577
ADRB1,-0.05313466691348477
RAB11FIP2,-0.022718401382730825
MPLKIP,-0.04923489280939077
PRIM1,0.08217593023511881
KIFC1,0.04710824037770498
ZSCAN22,0.028192918153137736
HTR1E,0.007731928873546583
TRPC4,-0.02362877178594821
RNF157,0.04262778884036376
ANKRD10,0.050232640806636586
FARS2,-0.018802280906069176
XKR8,-0.00974083498078075
ZNF471,-0.5658714898641521
FBXL17,-0.038429105826932965
SUPT5H,0.08570320452940201
CACNB4,0.04022803857106711
POMZP3,0.07066783309653782
EPB41,-0.02420899556159076
DNAJC25,-0.015434040465471182
REST,-0.04064459154071401
EOGT,-0.004919203876865966
CYLD,0.09521770911035463
ZNF135,-0.512817644347016
FLT3,-0.10012754140485741
BEND2,-0.009588903382853588
WFIKKN1,0.06853381733765489
EXOSC5,0.011774342730559027
MAP3K6,-0.0054102711594827355
YME1L1,-0.10438120925506852
CNOT6,0.01565028226820482
HTR7P1,-0.05893044906463382
CIART,-0.3870342803806048
SLC18A3,0.011203365204660554
FOXF1,-0.0415743293182613
ZNF607,-0.010591527804989138
CREB3L1,-0.08045179619887563
ZNF524,0.04493952078681794
BMPR2,0.01082558869445295
NECAB2,0.0026392381452118884
ACAT1,-0.008339922814083165
INVS,0.028395923785964217
TMEM176A,-0.2369330922580948
APP,-0.0657073626852996
SLC2A4,-0.04432652101766262
MAPRE1,0.045969041296588346
LRRC43,-0.06281979973782524
MRPS7,0.03630896718486328
COMTD1,-0.010761585693749645
CLIC1,0.06813947336193078
BET1L,0.12650421138878742
DENND1B,-0.23993881795976257
MIEF2,0.016954732700904092
WDR66,-0.33609334281880404
ZFYVE26,0.05245982194748898
TXNDC5,-0.06743143777062764
RPL34,-0.07737771183159275
PRPF3,-0.06294629395214482
RAPGEFL1,-0.14517823687534293
TMEM72,0.015641853865601872
ZNF646,0.10778083978743212
ITPKC,0.009209647375694501
GABARAPL2,0.015425755053191235
LOC100134368,0.0114216457360571
MPP6,-0.226250404377846
TCL1B,-0.0417756977468837
SPNS1,0.043745214847561074
UBL7,-0.032384014793614184
STAT2,0.052350639015847564
CCRL2,-0.02933623173343147
POM121C,0.043861675603755146
MZF1,0.08618389121405248
CEP70,0.021607169169449342
AMACR,-0.026871161280288516
ZPBP,-0.10268914127628959
BTG4,-0.004700284915713226
QRFPR,-0.02340159618365524
LAMC1,-0.23809161263303652
TTPA,-0.022726056486834914
ZNF804A,0.016437284088829003
USP9X,-0.05892417565023298
SNRK,-0.00926914042868694
TOM1L2,0.031483966018334565
CA3,-0.08357897111875108
TRIP11,-0.012588006919495463
RECQL5,0.0795107892227296
PANK4,0.040042314013226034
LRRC23,0.05790296780049782
LOC155060,0.1421152915565725
OSCP1,0.003244160552759392
ZNF793,-0.04046518391043852
METAP1D,-0.033780651682046026
MECP2,-0.013330038414729533
MSANTD4,-0.27827968528754077
SOWAHA,-0.035666943809153986
TUBA3D,0.06796753086788081
BRD9,0.0376436400016543
UBAP2L,0.08772228063222008
CLOCK,0.07691421514555603
NUP85,0.013704747780650547
CENPBD2P,-0.07754343888750856
RCOR3,0.0599446499651648
SOCS7,0.0027191796335186364
MORN5,0.0007531269562802574
SCO2,0.07538908939863026
C21orf58,0.057960017313057235
ZNF558,-0.10146536176962616
USP51,-0.04163450646929205
C10orf82,-0.5355676452718219
BBC3,-0.0315585378699975
NIPA2,-0.06015317676515799
PRRC2A,0.08087054547189529
C17orf67,0.04659856844736102
EPG5,0.10363586689280462
ZC3H8,0.006958776513294153
DPY19L2,-0.15769291191473656
ITIH5,0.06484050555976975
LOXL1,-0.004097743775378793
WDFY1,0.06252369565654202
ALDH1L2,-0.00498431034106263
PUSL1,-0.024784679591571934
GSG1L,-0.03696425240432811
SHISA5,0.056178979808299036
HPSE,-0.0878435801304561
SNRNP25,0.07983303146102355
SLC25A29,0.05371690005063095
NMRAL1,-0.20268015388422064
ABCB8,0.003060034735649305
COG1,0.06253968475653102
KCNK4,0.06969457184597688
SLC25A31,-0.0386470016382597
UBB,-0.06796858070837107
ZPR1,0.06326015873774314
COA6,-0.020793170571540596
TMEM200B,9.701678579867439e-05
GOLM1,-0.08593991006324202
KCND3,0.03516336915968187
RAB27A,-0.013869077477034596
CD274,0.015148275116808272
LINC01126,0.024094384631534092
TMPO,-0.024584355933688764
BCAP29,-0.10867500171756243
COL4A4,-0.03368684645296417
GDPD1,0.023786092098395883
GNPNAT1,0.06009577338902282
MN1,-0.1406373767669187
SOWAHD,-0.005352490346745926
FGD5,0.01015364846837349
BLOC1S5,-0.025651222230922026
CNPY2,-0.10593010646781234
NAT14,0.02491974141633133
DONSON,0.07183356688265637
PTDSS1,0.001958777220562096
LIG4,0.008665826194871119
LVRN,-0.017652491578839805
SLC7A5P1,-0.07952693162851232
LPCAT4,0.025266177106161913
WFDC2,-0.16931035045494489
LRCH3,0.05241019117918852
CSRNP1,-0.04133588984136732
SMAD3,0.07794674241467205
PRDM2,0.019026704139945356
FAM107B,0.08513399024739199
TIAM1,-0.007989903609130381
C2CD4A,-0.05844538619747334
USP21,-0.12364204511506743
SLC25A46,-0.06240988938097387
DYRK3,-0.02994212959531811
GIT1,0.06488065250750537
LRRC57,0.0019650538828971946
OMA1,0.04241601982593137
APOBEC3F,-0.10662571444990095
TMC5,-0.1280328264921704
TMED4,0.04744500928026623
CDC14A,-0.018076312148306
C12orf42,0.041024465406108546
ULBP3,-0.047930816240277
EMC4,-0.0631056030320085
DMC1,0.042460335853191485
MXD4,0.011669142715218
XRN2,-1.8842571871524402e-05
FBXO46,-0.0007304150754804993
TBC1D10A,-0.02674074585845394
IL15RA,0.013250985628683435
POLR1B,0.07874038852379382
FBXO30,-0.013475123238165342
KIF13A,0.030177703758704977
ZFP37,-0.47939671478538076
ERLIN2,0.08492392006382586
TGIF2,0.010186716115624774
ABAT,-0.26119174266834183
TMEM150C,-0.1712971925384777
ASIC1,-0.011981729274940277
GRB2,0.0010465841008747373
SHCBP1,0.05347810054371911
PSMD9,-0.012985661385886655
CYFIP2,-0.035352119573744165
METTL2A,0.04169096771836459
SYTL4,-0.01504834396963125
ZNF571,-0.045316311282193926
DCBLD1,0.042651920275542134
SYNGR4,0.0008373905657477162
LRRC28,-0.12015156669838159
PHF23,-0.01680123932447328
UCP2,0.014703093464278961
MSRB1,0.01714305265682098
CNTD2,-0.3045489354271512
CFAP69,0.022689353418920186
DOCK6,0.006831272934769959
STX5,-0.03991835385593088
IL27,-0.1299523128606919
CDH24,-0.026176779575660915
ZFP28,-0.3472868993202988
NFIX,0.019212683855081514
CYTH3,-0.09075448374507468
GAD1,-0.11261564356035764
RNF5P1,-0.0644975438252623
GRB7,-0.15395718208766573
RSPRY1,0.10165678667732621
IDH3A,0.03764539222599777
HARBI1,0.012423720019459288
SGK1,-0.07095713995275398
ZNF595,-0.1662955646331862
UBTF,-0.016737188461414275
LDB3,-0.04084779532784643
B4GALT2,-0.0584667757057984
MRPL51,-0.007586388303051513
GPRC5B,-0.036420302910238206
SEC31B,0.05725822702883875
ARHGEF10,0.022554834497285462
ATP6V1C1,0.1218606649285947
PMS2P1,0.08869617622490635
MYO18A,0.07653487194961592
STARD5,0.037718826901836915
DLL1,-0.16752999184232126
PCSK1,-0.07472956659163976
EYA3,-0.00773322097342989
ZNF322,-0.06766574664521526
PLD2,0.04080481208967425
C3orf52,-0.19952388414212482
MYPOP,0.057209586630408635
TICAM1,-0.023798631134412215
APOBEC3D,-0.0004763999191095609
EIF4EBP2,-0.05008086504790297
RECQL4,0.06496360888630227
AIDA,-0.010305633870664795
