gene,in_degree,out_degree,total_degree,node_type,node_size,node_color
A4GALT,3,0,3,Highly Regulated,26,#4ECDC4
AAAS,3,0,3,Highly Regulated,26,#4ECDC4
AADACL2,3,25,28,Master Regulator,76,#FF6B6B
AADAT,3,0,3,Highly Regulated,26,#4ECDC4
AAK1,3,0,3,Highly Regulated,26,#4ECDC4
AAMDC,3,0,3,Highly Regulated,26,#4ECDC4
AAMP,3,0,3,Highly Regulated,26,#4ECDC4
AAR2,3,0,3,Highly Regulated,26,#4ECDC4
AARS2,3,0,3,Highly Regulated,26,#4ECDC4
AASDH,3,0,3,Highly Regulated,26,#4ECDC4
AASS,3,0,3,Highly Regulated,26,#4ECDC4
AATK,3,0,3,Highly Regulated,26,#4ECDC4
ABAT,3,0,3,Highly Regulated,26,#4ECDC4
ABCA2,3,0,3,Highly Regulated,26,#4ECDC4
ABCA7,3,0,3,Highly Regulated,26,#4ECDC4
ABCB10,3,0,3,Highly Regulated,26,#4ECDC4
ABCB6,3,0,3,Highly Regulated,26,#4ECDC4
ABCB7,3,0,3,Highly Regulated,26,#4ECDC4
ABCB8,3,0,3,Highly Regulated,26,#4ECDC4
ABCB9,3,0,3,Highly Regulated,26,#4ECDC4
ABCC1,3,0,3,Highly Regulated,26,#4ECDC4
ABCC10,3,0,3,Highly Regulated,26,#4ECDC4
ABCC3,3,0,3,Highly Regulated,26,#4ECDC4
ABCC4,3,0,3,Highly Regulated,26,#4ECDC4
ABCC5,3,0,3,Highly Regulated,26,#4ECDC4
ABCC6,3,0,3,Highly Regulated,26,#4ECDC4
ABCC8,3,0,3,Highly Regulated,26,#4ECDC4
ABCD1,3,0,3,Highly Regulated,26,#4ECDC4
ABCD2,3,0,3,Highly Regulated,26,#4ECDC4
ABCD4,3,0,3,Highly Regulated,26,#4ECDC4
ABCF3,3,0,3,Highly Regulated,26,#4ECDC4
ABCG5,3,0,3,Highly Regulated,26,#4ECDC4
ABCG8,3,0,3,Highly Regulated,26,#4ECDC4
ABHD1,3,0,3,Highly Regulated,26,#4ECDC4
ABHD11,3,0,3,Highly Regulated,26,#4ECDC4
ABHD12,3,0,3,Highly Regulated,26,#4ECDC4
ABHD13,3,0,3,Highly Regulated,26,#4ECDC4
ABHD14A,3,0,3,Highly Regulated,26,#4ECDC4
ABHD14B,3,99,102,Master Regulator,100,#FF6B6B
ABHD15,3,0,3,Highly Regulated,26,#4ECDC4
ABHD16A,3,0,3,Highly Regulated,26,#4ECDC4
ABHD17A,3,0,3,Highly Regulated,26,#4ECDC4
ABHD2,3,0,3,Highly Regulated,26,#4ECDC4
ABHD3,3,51,54,Master Regulator,100,#FF6B6B
ABHD4,3,0,3,Highly Regulated,26,#4ECDC4
ABHD5,3,0,3,Highly Regulated,26,#4ECDC4
ABHD8,3,0,3,Highly Regulated,26,#4ECDC4
ABI2,3,0,3,Highly Regulated,26,#4ECDC4
ABL1,3,0,3,Highly Regulated,26,#4ECDC4
ABLIM1,3,0,3,Highly Regulated,26,#4ECDC4
ABLIM3,3,0,3,Highly Regulated,26,#4ECDC4
ABO,3,0,3,Highly Regulated,26,#4ECDC4
ACAA1,3,0,3,Highly Regulated,26,#4ECDC4
ACAA2,3,0,3,Highly Regulated,26,#4ECDC4
ACACA,3,0,3,Highly Regulated,26,#4ECDC4
ACAD10,3,0,3,Highly Regulated,26,#4ECDC4
ACAD11,3,0,3,Highly Regulated,26,#4ECDC4
ACAD8,3,0,3,Highly Regulated,26,#4ECDC4
ACADM,3,0,3,Highly Regulated,26,#4ECDC4
ACADSB,3,0,3,Highly Regulated,26,#4ECDC4
ACAN,3,0,3,Highly Regulated,26,#4ECDC4
ACAP2,3,0,3,Highly Regulated,26,#4ECDC4
ACAP3,3,0,3,Highly Regulated,26,#4ECDC4
ACAT1,3,0,3,Highly Regulated,26,#4ECDC4
ACAT2,3,0,3,Highly Regulated,26,#4ECDC4
ACBD4,3,0,3,Highly Regulated,26,#4ECDC4
ACBD5,3,0,3,Highly Regulated,26,#4ECDC4
ACD,3,0,3,Highly Regulated,26,#4ECDC4
ACE,3,0,3,Highly Regulated,26,#4ECDC4
ACER2,3,0,3,Highly Regulated,26,#4ECDC4
ACIN1,3,0,3,Highly Regulated,26,#4ECDC4
ACLY,3,0,3,Highly Regulated,26,#4ECDC4
ACO2,3,0,3,Highly Regulated,26,#4ECDC4
ACOT12,3,0,3,Highly Regulated,26,#4ECDC4
ACOT6,3,0,3,Highly Regulated,26,#4ECDC4
ACOT7,3,0,3,Highly Regulated,26,#4ECDC4
ACOT8,3,0,3,Highly Regulated,26,#4ECDC4
ACOT9,3,0,3,Highly Regulated,26,#4ECDC4
ACOX1,3,0,3,Highly Regulated,26,#4ECDC4
ACOX3,3,0,3,Highly Regulated,26,#4ECDC4
ACOXL,3,0,3,Highly Regulated,26,#4ECDC4
ACP2,3,0,3,Highly Regulated,26,#4ECDC4
ACRBP,3,0,3,Highly Regulated,26,#4ECDC4
