gene,diagonal_original,diagonal_stabilized,diagonal_shift,gershgorin_radius
A4GALT,0.0,-0.36458623,-0.36458623,0.31458622
AAAS,0.0,-0.4491225,-0.4491225,0.39912248
AADACL2,0.0,-0.47239098,-0.47239098,0.42239097
AADAT,0.0,-0.31397182,-0.31397182,0.2639718
AAK1,0.0,-0.7212849,-0.7212849,0.6712849
AAMDC,0.0,-0.80641526,-0.80641526,0.75641525
AAMP,0.0,-0.62859994,-0.62859994,0.57859993
AAR2,0.0,-0.69588464,-0.69588464,0.64588463
AARS2,0.0,-0.5187849,-0.5187849,0.46878487
AASDH,0.0,-0.8450826,-0.8450826,0.79508257
AASS,0.0,-0.5068048,-0.5068048,0.45680484
AATK,0.0,-0.3628695,-0.3628695,0.3128695
ABAT,0.0,-0.39345402,-0.39345402,0.343454
ABCA2,0.0,-0.44931042,-0.44931042,0.3993104
ABCA7,0.0,-0.32976198,-0.32976198,0.27976197
ABCB10,0.0,-0.5663313,-0.5663313,0.5163313
ABCB6,0.0,-0.36307085,-0.36307085,0.31307083
ABCB7,0.0,-0.41821274,-0.41821274,0.36821273
ABCB8,0.0,-0.46604776,-0.46604776,0.41604775
ABCB9,0.0,-0.5870374,-0.5870374,0.5370374
ABCC1,0.0,-0.46418065,-0.46418065,0.41418064
ABCC10,0.0,-0.550266,-0.550266,0.500266
ABCC3,0.0,-0.51643246,-0.51643246,0.46643245
ABCC4,0.0,-0.36078712,-0.36078712,0.3107871
ABCC5,0.0,-0.42814705,-0.42814705,0.37814704
ABCC6,0.0,-0.34852314,-0.34852314,0.29852313
ABCC8,0.0,-0.32017177,-0.32017177,0.27017176
ABCD1,0.0,-0.3960458,-0.3960458,0.3460458
ABCD2,0.0,-0.4304539,-0.4304539,0.38045388
ABCD4,0.0,-0.380548,-0.380548,0.330548
ABCF3,0.0,-0.6164538,-0.6164538,0.5664538
ABCG5,0.0,-0.4028105,-0.4028105,0.3528105
ABCG8,0.0,-0.36152434,-0.36152434,0.31152433
ABHD1,0.0,-0.3795108,-0.3795108,0.32951078
ABHD11,0.0,-0.3933783,-0.3933783,0.34337828
ABHD12,0.0,-0.5671327,-0.5671327,0.5171327
ABHD13,0.0,-0.3001645,-0.3001645,0.25016448
ABHD14A,0.0,-0.8076815,-0.8076815,0.7576815
ABHD14B,0.0,-0.5269234,-0.5269234,0.4769234
ABHD15,0.0,-0.92485803,-0.92485803,0.874858
ABHD16A,0.0,-0.6759633,-0.6759633,0.6259633
ABHD17A,0.0,-0.4976282,-0.4976282,0.4476282
ABHD2,0.0,-0.51215464,-0.51215464,0.46215463
ABHD3,0.0,-0.59636486,-0.59636486,0.54636484
ABHD4,0.0,-0.82384425,-0.82384425,0.77384424
ABHD5,0.0,-0.4864739,-0.4864739,0.43647388
ABHD8,0.0,-0.39904124,-0.39904124,0.34904122
ABI2,0.0,-0.80046123,-0.80046123,0.7504612
ABL1,0.0,-0.66742384,-0.66742384,0.61742383
ABLIM1,0.0,-0.39768285,-0.39768285,0.34768283
ABLIM3,0.0,-0.3225458,-0.3225458,0.27254578
ABO,0.0,-0.39952868,-0.39952868,0.34952867
ACAA1,0.0,-0.56568545,-0.56568545,0.51568544
