,closeness
HNRNPK,0.27777256070623385
EEF1B2,0.2693587364847967
RPLP0,0.2691592500429127
RPS27A,0.2525685783578891
CCT7,0.2422901353429767
AIDA,0.2400221004230373
RPL26,0.23907475315560853
HNRNPM,0.2375325983726719
SLC25A5,0.23700727747689745
SRSF9,0.22976305404834108
ARF4,0.22787769667228333
EIF4A1,0.22688189532157252
EIF4G2,0.22362251656855794
SYF2,0.22240281147619254
HNRNPA1L2,0.22197757838735685
STAMBP,0.22156571339710807
EIF3L,0.21919521881034998
DUSP11,0.21864480838410444
SPCS1,0.21822811375659712
COMMD6,0.21729774538142602
