gene,r_spearman
ATRIP,0.05379900765359281
BANP,0.05725070289972752
TTC14,-0.11921805890780343
GRID1,-0.008447668645659467
SF3A2,0.0854617046319489
ZKSCAN8,-0.00437384548326338
C19orf73,0.01425089996869286
RPL39,-0.051365444689416354
ZBTB9,0.005324530175849682
DCBLD1,0.042651920275542134
DFFB,0.07991360120583715
MRPS27,0.020658961753894787
ISYNA1,-0.1244590281915647
PCBP4,-0.006915305091169895
SBDSP1,-0.004841231175847733
AKR7L,0.35120711170364965
GYG1,-0.01907311883735972
MASTL,-0.03502149755921671
MSL3,-0.01849719989218263
CDR2,0.04455100903243635
HJURP,0.012605454171146469
PIGL,0.039210932682627896
P2RX2,-0.16233491613473136
STX4,0.08787058866919605
ECE1,0.046720587251769315
ZNF514,0.07145784961508919
CCT6B,0.0020767779502472105
EIF4E3,0.01469506461995427
KLF3,0.010238786752619102
ZNF180,0.05104862886274822
ATXN7L1,0.010303177770476929
GXYLT1,0.007607257388420256
AQP5,-0.19124593326826725
LTBP4,-0.015795218760567824
PFN2,-0.011549288507039674
GSTO1,-0.0493157001867491
NDOR1,-0.05111332037475031
PTCD2,-0.03892604940906945
CDKN2B,-0.04971458867987077
GIPC3,0.017356964005883747
ZNF765,0.011980616758881306
CYC1,-0.03403658553255899
BRWD3,-0.07559878251520659
CSTF1,0.007482806391157388
CRCP,0.07626427272420147
ZGRF1,0.04045105460451841
CDYL2,-0.07427510874865911
FAM21EP,0.035096488632860585
TTLL9,0.010072844338743142
COX6B1,0.0406782908435078
CERCAM,0.014184462134735662
GRB7,-0.15395718208766573
NAGK,0.06207780435065042
CCDC155,0.001774181921220305
DNAJC6,0.010612827823529897
AK3,-0.1442500636029411
CMTM4,0.046885387122697984
ANAPC10,-0.032924805991175136
N4BP2,0.06719378359553187
ABCB7,-0.05208347617375703
GLI3,-0.0033776991316682224
POMT2,0.06276407576851725
SEPHS2,0.018769363994991115
RAPGEF3,0.06294195453963214
FMO5,-0.020167632369608137
INSIG2,-0.005775276703677383
STT3A,0.021546176806160246
JADE1,0.013120815048383206
SHANK1,-0.004371647138260332
ZNF599,-0.0530075967045451
IDE,-0.03297153398524913
RCE1,0.031926033073234765
PMPCA,0.0242893458115031
FOXP1,-0.013717368167931685
MAPK1,-0.041124232446553825
PARD3,-0.028506358233759823
FBF1,-0.001085848548877988
FICD,0.03812181775514833
GMCL1,0.06624320183175622
ZNF829,-0.1087736123447878
C1QL4,-0.08898976874582504
ERP44,0.07010951979427928
TBX6,0.03692760608496083
LRRC73,-0.24075210782116266
CREB3L4,-0.01507686190713791
HAGH,0.0459497005687316
TBC1D15,-0.0607901040085682
LINC00662,-0.007335175033893668
MED20,0.027382171293570477
SPESP1,-0.4696421027738743
ZNF497,0.015625576221866624
C17orf58,-0.034333535009886375
EIF4E1B,-0.013835916424510816
SLC1A1,-0.08356543093056037
DAW1,-0.01866182660188609
DPAGT1,-0.023631069868503777
STOM,-0.055625789791147295
ZNF630,-0.11752427704702596
PDCD5,-0.0597389110469096
SCTR,0.025138524393043517
ZNF286A,-0.01087433175496161
HMG20A,-0.004162508890527736
SLC7A4,-0.5196076820700756
C16orf86,-0.03361098051230104
HDAC7,0.07937528888623625
COX20,0.04090945834108574
ZNF511,-0.009764874468284935
SS18L1,0.034897180403394075
TDP1,0.07350678770333548
PHF23,-0.01680123932447328
HAUS4,-0.01664227198343376
ERMARD,0.051032923573507444
CCDC116,-0.04106763160259976
CDCP1,-0.34099521094583635
EDN1,-0.16626989603168277
BPGM,-0.04323648535418501
PAX8,-0.7184238587736647
AMIGO3,0.05089917924323672
MIPEP,-0.1457461853671688
