tf,target,weight,importance,interaction,edge_color,edge_width
TSC22D1,A4GALT,-0.13827785849571228,0.13827785849571228,repression,#FF0000,0.6963403551750253
ATP2C1,A4GALT,-0.11363669484853745,0.11363669484853745,repression,#FF0000,0.5722522558027625
MFN2,A4GALT,-0.11188936978578568,0.11188936978578568,repression,#FF0000,0.5634530672122007
HNRNPA1L2,AAAS,0.15010090172290802,0.15010090172290802,activation,#00FF00,0.7558788974234971
NDUFA12,AAAS,0.13355916738510132,0.13355916738510132,activation,#00FF00,0.6725779460686827
PPM1B,AAAS,-0.10755429416894913,0.10755429416894913,repression,#FF0000,0.5416224709939916
SERPINA12,AADACL2,0.18655599653720856,0.18655599653720856,activation,#00FF00,0.9394596524849909
FLG,AADACL2,0.13447296619415283,0.13447296619415283,activation,#00FF00,0.6771796588387223
CERS3,AADACL2,0.10840526968240738,0.10840526968240738,activation,#00FF00,0.5459078178870745
CCDC57,AADAT,0.212472602725029,0.212472602725029,activation,#00FF00,1.0699706320017712
SLC5A3,AADAT,0.11185090988874435,0.11185090988874435,activation,#00FF00,0.5632593906637128
PAIP2,AADAT,-0.11071684956550598,0.11071684956550598,repression,#FF0000,0.557548483821037
KMT2C,AAK1,0.25997841358184814,0.25997841358184814,activation,#00FF00,1.3092006400796066
TOP3A,AAK1,0.2116995006799698,0.2116995006799698,activation,#00FF00,1.0660774407237203
PPM1B,AAK1,0.15265953540802002,0.15265953540802002,activation,#00FF00,0.768763678171739
USP35,AAMDC,0.5281432271003723,0.5281432271003723,activation,#00FF00,2.6596263953115895
PSMD10,AAMDC,0.10177848488092422,0.10177848488092422,activation,#00FF00,0.512536620700966
HINT1,AAMDC,0.09857644140720367,0.09857644140720367,activation,#00FF00,0.5
GANAB,AAMP,0.20834685862064362,0.20834685862064362,activation,#00FF00,1.0491941884969127
XRCC5,AAMP,0.1969640702009201,0.1969640702009201,activation,#00FF00,0.9918726836855101
SYMPK,AAMP,0.17227621376514435,0.17227621376514435,activation,#00FF00,0.8675494485268516
ERGIC3,AAR2,0.347816526889801,0.347816526889801,activation,#00FF00,1.7515362654947242
DDX21,AAR2,0.18218658864498138,0.18218658864498138,activation,#00FF00,0.9174561656167561
RPS27A,AAR2,-0.1755017340183258,0.1755017340183258,repression,#FF0000,0.8837925401046276
MAD2L1BP,AARS2,0.21860463917255402,0.21860463917255402,activation,#00FF00,1.1008503728675019
ZNF526,AARS2,0.11613290756940842,0.11613290756940842,activation,#00FF00,0.5848226967363528
PSMG2,AARS2,-0.1072399765253067,0.1072399765253067,repression,#FF0000,0.5400396285780561
