gene,diagonal_original,diagonal_stabilized,diagonal_shift,gershgorin_radius
A4GALT,0.0,-0.36458653,-0.36458653,0.31458652
AAAS,0.0,-0.4491223,-0.4491223,0.3991223
AADACL2,0.0,-0.4723911,-0.4723911,0.4223911
AADAT,0.0,-0.31397188,-0.31397188,0.26397187
AAK1,0.0,-0.72128505,-0.72128505,0.67128503
AAMDC,0.0,-0.8064151,-0.8064151,0.75641507
AAMP,0.0,-0.62859994,-0.62859994,0.57859993
AAR2,0.0,-0.69588494,-0.69588494,0.64588493
AARS2,0.0,-0.51878464,-0.51878464,0.46878463
AASDH,0.0,-0.8450827,-0.8450827,0.7950827
AASS,0.0,-0.50680506,-0.50680506,0.45680505
AATK,0.0,-0.3628695,-0.3628695,0.3128695
ABAT,0.0,-0.39345407,-0.39345407,0.34345406
ABCA2,0.0,-0.44931072,-0.44931072,0.3993107
ABCA7,0.0,-0.329762,-0.329762,0.279762
ABCB10,0.0,-0.56633145,-0.56633145,0.51633143
ABCB6,0.0,-0.36307067,-0.36307067,0.31307065
ABCB7,0.0,-0.4182126,-0.4182126,0.36821258
ABCB8,0.0,-0.46604782,-0.46604782,0.4160478
ABCB9,0.0,-0.58703744,-0.58703744,0.53703743
ABCC1,0.0,-0.46418083,-0.46418083,0.41418082
ABCC10,0.0,-0.55026585,-0.55026585,0.50026584
ABCC3,0.0,-0.51643234,-0.51643234,0.46643236
ABCC4,0.0,-0.36078689,-0.36078689,0.31078687
ABCC5,0.0,-0.42814732,-0.42814732,0.3781473
ABCC6,0.0,-0.34852332,-0.34852332,0.2985233
ABCC8,0.0,-0.3201718,-0.3201718,0.2701718
ABCD1,0.0,-0.3960461,-0.3960461,0.3460461
ABCD2,0.0,-0.43045473,-0.43045473,0.38045472
ABCD4,0.0,-0.38054806,-0.38054806,0.33054805
ABCF3,0.0,-0.61645377,-0.61645377,0.56645375
ABCG5,0.0,-0.40281075,-0.40281075,0.35281074
ABCG8,0.0,-0.3615242,-0.3615242,0.31152418
ABHD1,0.0,-0.3795108,-0.3795108,0.32951078
ABHD11,0.0,-0.39337832,-0.39337832,0.3433783
ABHD12,0.0,-0.56713283,-0.56713283,0.5171328
ABHD13,0.0,-0.30016455,-0.30016455,0.25016454
ABHD14A,0.0,-0.8076814,-0.8076814,0.75768137
