tf,target,importance,weight
TSC22D1,A4GALT,0.13827785849571228,-0.13827785849571228
ATP2C1,A4GALT,0.11363669484853745,-0.11363669484853745
MFN2,A4GALT,0.11188936978578568,-0.11188936978578568
HNRNPA1L2,AAAS,0.15010090172290802,0.15010090172290802
NDUFA12,AAAS,0.13355916738510132,0.13355916738510132
PPM1B,AAAS,0.10755429416894913,-0.10755429416894913
SERPINA12,AADACL2,0.18655599653720856,0.18655599653720856
FLG,AADACL2,0.13447296619415283,0.13447296619415283
CERS3,AADACL2,0.10840526968240738,0.10840526968240738
CCDC57,AADAT,0.212472602725029,0.212472602725029
SLC5A3,AADAT,0.11185090988874435,0.11185090988874435
PAIP2,AADAT,0.11071684956550598,-0.11071684956550598
KMT2C,AAK1,0.25997841358184814,0.25997841358184814
TOP3A,AAK1,0.2116995006799698,0.2116995006799698
PPM1B,AAK1,0.15265953540802002,0.15265953540802002
USP35,AAMDC,0.5281432271003723,0.5281432271003723
PSMD10,AAMDC,0.10177848488092422,0.10177848488092422
HINT1,AAMDC,0.09857644140720367,0.09857644140720367
GANAB,AAMP,0.20834685862064362,0.20834685862064362
XRCC5,AAMP,0.1969640702009201,0.1969640702009201
SYMPK,AAMP,0.17227621376514435,0.17227621376514435
ERGIC3,AAR2,0.347816526889801,0.347816526889801
DDX21,AAR2,0.18218658864498138,0.18218658864498138
RPS27A,AAR2,0.1755017340183258,-0.1755017340183258
MAD2L1BP,AARS2,0.21860463917255402,0.21860463917255402
ZNF526,AARS2,0.11613290756940842,0.11613290756940842
PSMG2,AARS2,0.1072399765253067,-0.1072399765253067
POLR2B,AASDH,0.5277554392814636,0.5277554392814636
DHX15,AASDH,0.16369736194610596,0.16369736194610596
UCN,AASDH,0.09973201155662537,0.09973201155662537
PPM1B,AASS,0.22344738245010376,0.22344738245010376
EEF1B2,AASS,0.149569571018219,0.149569571018219
APP,AASS,0.12925224006175995,0.12925224006175995
PLIN5,AATK,0.11929681152105331,0.11929681152105331
TEKT1,AATK,0.10076601803302765,0.10076601803302765
TMEM165,AATK,0.09102486073970795,0.09102486073970795
SEC23IP,ABAT,0.18993167579174042,0.18993167579174042
DPP9,ABAT,0.15307579934597015,0.15307579934597015
HADHB,ABAT,0.12186829745769501,0.12186829745769501
HNRNPK,ABCA2,0.1356409192085266,0.1356409192085266
DUSP11,ABCA2,0.123930424451828,-0.123930424451828
ARPC3,ABCA2,0.12186013162136078,-0.12186013162136078
DPP9,ABCA7,0.09077426046133041,0.09077426046133041
RAB11FIP2,ABCA7,0.08853106945753098,-0.08853106945753098
THAP11,ABCA7,0.08110233396291733,0.08110233396291733
RAB4A,ABCB10,0.2059960812330246,0.2059960812330246
SRP9,ABCB10,0.18966713547706604,0.18966713547706604
TFB2M,ABCB10,0.17676863074302673,0.17676863074302673
CCT7,ABCB6,0.1312834471464157,0.1312834471464157
SYF2,ABCB6,0.11319144815206528,-0.11319144815206528
EEF1B2,ABCB6,0.11150939017534256,0.11150939017534256
KLHL20,ABCB7,0.14839185774326324,0.14839185774326324
ARFGAP1,ABCB7,0.12173628062009811,-0.12173628062009811
KMT2C,ABCB7,0.11831596493721008,0.11831596493721008
NDUFB2,ABCB8,0.1692201793193817,0.1692201793193817
DNAJB6,ABCB8,0.12855009734630585,0.12855009734630585
EXOSC1,ABCB8,0.11700830608606339,0.11700830608606339
SRSF9,ABCB9,0.27408379316329956,0.27408379316329956
ATP6V0E1,ABCB9,0.13991054892539978,0.13991054892539978
CCT7,ABCB9,0.13695472478866577,0.13695472478866577
LITAF,ABCC1,0.1662703901529312,0.1662703901529312
CHMP1B,ABCC1,0.15817303955554962,0.15817303955554962
HMGN1,ABCC1,0.125570148229599,-0.125570148229599
MAD2L1BP,ABCC10,0.23137615621089935,0.23137615621089935
CUL9,ABCC10,0.16550253331661224,0.16550253331661224
DDX21,ABCC10,0.12818560004234314,0.12818560004234314
STARD3,ABCC3,0.17110122740268707,0.17110122740268707
ASCC3,ABCC3,0.1645258069038391,0.1645258069038391
PIGY,ABCC3,0.1542423814535141,-0.1542423814535141
STARD3,ABCC4,0.19651730358600616,0.19651730358600616
UBE2G2,ABCC4,0.10449281334877014,-0.10449281334877014
NOP10,ABCC4,0.10422205924987793,0.10422205924987793
NDUFB5,ABCC5,0.1350230872631073,0.1350230872631073
ASCC3,ABCC5,0.13472338020801544,-0.13472338020801544
AIDA,ABCC5,0.10512209683656693,-0.10512209683656693
ZFAND6,ABCC6,0.1583205759525299,0.1583205759525299
VPS18,ABCC6,0.10402301698923111,-0.10402301698923111
SPATS2L,ABCC6,0.09963623434305191,-0.09963623434305191
SYPL1,ABCC8,0.12590071558952332,-0.12590071558952332
SNX3,ABCC8,0.09983107447624207,-0.09983107447624207
XRCC5,ABCC8,0.09942380338907242,0.09942380338907242
MECP2,ABCD1,0.13763640820980072,0.13763640820980072
RPS27A,ABCD1,0.11283759772777557,-0.11283759772777557
SLC25A5,ABCD1,0.10692363977432251,0.10692363977432251
ANKFY1,ABCD2,0.13396736979484558,-0.13396736979484558
FAM193B,ABCD2,0.1258586049079895,0.1258586049079895
LSM3,ABCD2,0.12016269564628601,-0.12016269564628601
C9orf62,ABCD4,0.13001564145088196,0.13001564145088196
PDZD11,ABCD4,0.10829798877239227,0.10829798877239227
ATG10,ABCD4,0.09339141100645065,0.09339141100645065
WDR53,ABCF3,0.197126105427742,0.197126105427742
UBTF,ABCF3,0.1847071498632431,0.1847071498632431
NDUFB5,ABCF3,0.1821179836988449,0.1821179836988449
AKAP8L,ABCG5,0.12475423514842987,0.12475423514842987
MIRLET7BHG,ABCG5,0.1174895241856575,-0.1174895241856575
RPS27A,ABCG5,0.1066797524690628,0.1066797524690628
MTMR12,ABCG8,0.12159966677427292,-0.12159966677427292
AP3M1,ABCG8,0.09623601287603378,-0.09623601287603378
HADHB,ABCG8,0.0939955860376358,0.0939955860376358
MFSD6L,ABHD1,0.12698666751384735,0.12698666751384735
DPY30,ABHD1,0.11816421151161194,0.11816421151161194
BRF1,ABHD1,0.11486918479204178,0.11486918479204178
CCT7,ABHD11,0.13014517724514008,0.13014517724514008
TMEM248,ABHD11,0.10793785005807877,0.10793785005807877
PPM1A,ABHD11,0.1055430918931961,0.1055430918931961
SEC23B,ABHD12,0.1876080185174942,0.1876080185174942
ARFGAP1,ABHD12,0.1811688244342804,-0.1811688244342804
SFT2D1,ABHD12,0.13794204592704773,-0.13794204592704773
SAMD10,ABHD13,0.09354164451360703,0.09354164451360703
PPP6R1,ABHD13,0.08242516964673996,0.08242516964673996
HDAC7,ABHD13,0.08148587495088577,-0.08148587495088577
SPCS1,ABHD14A,0.4078463912010193,0.4078463912010193
ABHD14B,ABHD14A,0.22259119153022766,0.22259119153022766
ITGB1,ABHD14A,0.16934123635292053,-0.16934123635292053
SPCS1,ABHD14B,0.2639566957950592,0.2639566957950592
ARF4,ABHD14B,0.11850091814994812,0.11850091814994812
ZFHX2,ABHD14B,0.10242149233818054,-0.10242149233818054
GIT1,ABHD15,0.6594300270080566,0.6594300270080566
ITM2B,ABHD15,0.11092577874660492,0.11092577874660492
DIS3L2,ABHD15,0.0999990701675415,-0.0999990701675415
RNF5P1,ABHD16A,0.33735740184783936,0.33735740184783936
ITM2B,ABHD16A,0.14829042553901672,0.14829042553901672
DDX21,ABHD16A,0.1464826762676239,0.1464826762676239
MBD3,ABHD17A,0.16216017305850983,0.16216017305850983
SDHA,ABHD17A,0.1387053281068802,0.1387053281068802
CSNK1G2,ABHD17A,0.12722226977348328,0.12722226977348328
ZNF587,ABHD2,0.21822340786457062,0.21822340786457062
HERPUD1,ABHD2,0.13827770948410034,-0.13827770948410034
IDH3A,ABHD2,0.12550528347492218,0.12550528347492218
ENTPD5,ABHD3,0.20019151270389557,0.20019151270389557
HINT1,ABHD3,0.18274985253810883,0.18274985253810883
RPLP0,ABHD3,0.17097462713718414,-0.17097462713718414
DAD1,ABHD4,0.49561285972595215,0.49561285972595215
HSPA8,ABHD4,0.1297837346792221,-0.1297837346792221
HECTD1,ABHD4,0.12590765953063965,0.12590765953063965
STT3B,ABHD5,0.17699916660785675,0.17699916660785675
HERPUD1,ABHD5,0.14067690074443817,-0.14067690074443817
NBEAL2,ABHD5,0.13842394948005676,0.13842394948005676
MKS1,ABHD8,0.13179253041744232,-0.13179253041744232
UBA3,ABHD8,0.12644751369953156,-0.12644751369953156
AKAP8L,ABHD8,0.12208923697471619,0.12208923697471619
NDUFB3,ABI2,0.32167914509773254,0.32167914509773254
RBMX,ABI2,0.26720479130744934,0.26720479130744934
PPP1CB,ABI2,0.20864778757095337,-0.20864778757095337
FUBP3,ABL1,0.36594322323799133,0.36594322323799133
DHX15,ABL1,0.11479811370372772,-0.11479811370372772
ZER1,ABL1,0.10455635190010071,0.10455635190010071
PRDX3,ABLIM1,0.17230601608753204,0.17230601608753204
EIF4A1,ABLIM1,0.11287578195333481,-0.11287578195333481
CHMP5,ABLIM1,0.1061350554227829,-0.1061350554227829
PTTG1IP,ABLIM3,0.13223212957382202,-0.13223212957382202
TOMM20,ABLIM3,0.12059281766414642,-0.12059281766414642
CNTD1,ABLIM3,0.09800606220960617,0.09800606220960617
UBTF,ABO,0.12847992777824402,0.12847992777824402
PSMD10,ABO,0.12609857320785522,-0.12609857320785522
DAD1,ABO,0.11915265023708344,-0.11915265023708344
TOP2B,ACAA1,0.2163003832101822,0.2163003832101822
STT3B,ACAA1,0.16358909010887146,0.16358909010887146
DDX21,ACAA1,0.12836576998233795,-0.12836576998233795
EIF4A1,ACAA2,0.1695106029510498,0.1695106029510498
HADHB,ACAA2,0.13833729922771454,0.13833729922771454
PSMG2,ACAA2,0.12056699395179749,0.12056699395179749
MYO19,ACACA,0.16849039494991302,0.16849039494991302
DUSP11,ACACA,0.15204857289791107,-0.15204857289791107
CCDC57,ACACA,0.14692699909210205,0.14692699909210205
NDUFA12,ACAD10,0.22562934458255768,0.22562934458255768
SRSF9,ACAD10,0.18673361837863922,0.18673361837863922
PEX2,ACAD10,0.10609935969114304,0.10609935969114304
ATP2C1,ACAD11,0.23260310292243958,0.23260310292243958
PCNP,ACAD11,0.18726082146167755,0.18726082146167755
ARFGAP1,ACAD11,0.17915038764476776,0.17915038764476776
HSPA8,ACAD8,0.17066262662410736,0.17066262662410736
TMEM126A,ACAD8,0.16952891647815704,0.16952891647815704
TSC22D1,ACAD8,0.12820851802825928,0.12820851802825928
UBE2G1,ACADM,0.11279012262821198,0.11279012262821198
C1orf122,ACADM,0.1057339757680893,0.1057339757680893
ATP2C1,ACADM,0.09170271456241608,0.09170271456241608
PRDX3,ACADSB,0.19967816770076752,0.19967816770076752
KDELR2,ACADSB,0.14032863080501556,-0.14032863080501556
GABARAPL2,ACADSB,0.10808040201663971,0.10808040201663971
IGFBP7,ACAN,0.25373226404190063,0.25373226404190063
COL11A2,ACAN,0.2063310593366623,0.2063310593366623
EPG5,ACAN,0.119413822889328,0.119413822889328
WDR53,ACAP2,0.24453330039978027,0.24453330039978027
NDUFB5,ACAP2,0.13979271054267883,0.13979271054267883
RPS27A,ACAP2,0.12456485629081726,0.12456485629081726
RPS27A,ACAP3,0.18869033455848694,-0.18869033455848694
MFN2,ACAP3,0.14960572123527527,0.14960572123527527
HSF4,ACAP3,0.13593991100788116,0.13593991100788116
PPA1,ACAT1,0.18712615966796875,0.18712615966796875
TMEM126A,ACAT1,0.17070581018924713,0.17070581018924713
HSPA8,ACAT1,0.13266050815582275,0.13266050815582275
SFT2D1,ACAT2,0.308391809463501,0.308391809463501
SF3B5,ACAT2,0.16187192499637604,0.16187192499637604
ATP6V0E1,ACAT2,0.14951273798942566,-0.14951273798942566
SNX3,ACBD4,0.1057681292295456,-0.1057681292295456
BAIAP3,ACBD4,0.07866448909044266,0.07866448909044266
STAMBP,ACBD4,0.07725731283426285,0.07725731283426285
ITGB1,ACBD5,0.2033805251121521,0.2033805251121521
BROX,ACBD5,0.0964207649230957,0.0964207649230957
DUSP11,ACBD5,0.09088597446680069,0.09088597446680069
THAP11,ACD,0.4543079137802124,0.4543079137802124
GABARAPL2,ACD,0.24024702608585358,0.24024702608585358
CHMP1A,ACD,0.18921755254268646,0.18921755254268646
BIN3,ACE,0.1512826830148697,-0.1512826830148697
PPA1,ACE,0.13320982456207275,0.13320982456207275
FBXO41,ACE,0.11159828305244446,0.11159828305244446
RPS16,ACER2,0.12301737070083618,0.12301737070083618
ZNF763,ACER2,0.11464817076921463,0.11464817076921463
GNE,ACER2,0.10332915931940079,0.10332915931940079
DAD1,ACIN1,0.28032681345939636,0.28032681345939636
HECTD1,ACIN1,0.1536587029695511,0.1536587029695511
ZFHX2,ACIN1,0.13841621577739716,0.13841621577739716
ATP6V0E1,ACLY,0.17293095588684082,-0.17293095588684082
