gene,methylation_expr_corr,scaling_factor,modulation_type
A4GALT,-0.13528553,0.8647145,suppression
AAAS,0.0202138,1.0202138,enhancement
AADACL2,-0.016400982,0.983599,suppression
AADAT,-0.3932244,0.60677564,suppression
AAK1,0.075195745,1.0751958,enhancement
AAMDC,0.038321313,1.0383213,enhancement
AAMP,0.0017534111,1.0017534,enhancement
AAR2,-0.08450677,0.91549325,suppression
AARS2,0.06065265,1.0606526,enhancement
AASDH,0.0049266852,1.0049267,enhancement
AASS,-0.09051747,0.90948254,suppression
AATK,0.005727643,1.0057276,enhancement
ABAT,-0.26119176,0.7388083,suppression
ABCA2,0.046874005,1.046874,enhancement
ABCA7,0.074323125,1.0743232,enhancement
ABCB10,-0.09800366,0.9019963,suppression
ABCB6,-0.12054926,0.87945074,suppression
ABCB7,-0.052083477,0.9479165,suppression
ABCB8,0.0030600347,1.00306,enhancement
ABCB9,-0.02525029,0.9747497,suppression
ABCC1,-0.079625964,0.92037404,suppression
ABCC10,-0.047229305,0.9527707,suppression
ABCC3,-0.047843426,0.95215654,suppression
ABCC4,-0.23306465,0.76693535,suppression
ABCC5,0.008746397,1.0087464,enhancement
ABCC6,-0.17530398,0.824696,suppression
ABCC8,-0.16909991,0.8309001,suppression
ABCD1,-0.03176164,0.96823835,suppression
ABCD2,0.0012264196,1.0012264,enhancement
ABCD4,-0.0034880089,0.996512,suppression
ABCF3,0.004437505,1.0044374,enhancement
ABCG5,0.011140547,1.0111406,enhancement
ABCG8,-0.0009847772,0.9990152,suppression
ABHD1,-0.08474329,0.91525674,suppression
ABHD11,-0.000721205,0.9992788,suppression
ABHD12,0.020551702,1.0205517,enhancement
ABHD13,-0.028308691,0.9716913,suppression
ABHD14A,-0.05263635,0.9473637,suppression
ABHD14B,-0.0164072,0.9835928,suppression
ABHD15,0.0051740725,1.005174,enhancement
ABHD16A,-0.009755498,0.9902445,suppression
ABHD17A,0.04564572,1.0456457,enhancement
ABHD2,-0.041185524,0.9588145,suppression
ABHD3,-0.013633364,0.9863666,suppression
ABHD4,0.030000634,1.0300007,enhancement
ABHD5,-0.04303038,0.9569696,suppression
ABHD8,-0.08226571,0.91773427,suppression
ABI2,-0.059020296,0.9409797,suppression
ABL1,0.05488795,1.054888,enhancement
ABLIM1,-0.11150692,0.88849306,suppression
ABLIM3,-0.22314192,0.7768581,suppression
ABO,-0.06475852,0.93524146,suppression
ACAA1,0.014618562,1.0146185,enhancement
ACAA2,-0.0043407306,0.9956593,suppression
ACACA,0.056268387,1.0562683,enhancement
ACAD10,0.019695103,1.019695,enhancement
ACAD11,0.060647037,1.060647,enhancement
ACAD8,0.044080608,1.0440806,enhancement
ACADM,-0.026601082,0.9733989,suppression
ACADSB,0.064748265,1.0647483,enhancement
ACAN,-0.06739532,0.9326047,suppression
ACAP2,-0.0021848525,0.99781513,suppression
ACAP3,0.064102605,1.0641026,enhancement
ACAT1,-0.008339923,0.99166006,suppression
ACAT2,-0.12532628,0.8746737,suppression
ACBD4,0.057809826,1.0578098,enhancement
ACBD5,-0.036622897,0.9633771,suppression
ACD,-0.00035468602,0.9996453,suppression
ACE,-0.08781576,0.91218424,suppression
ACER2,-0.040140245,0.9598597,suppression
ACIN1,0.053218227,1.0532182,enhancement
ACLY,0.07371337,1.0737134,enhancement
ACO2,0.0322497,1.0322497,enhancement
ACOT12,-0.016082378,0.9839176,suppression
ACOT6,0.032531988,1.032532,enhancement
ACOT7,-0.017619716,0.9823803,suppression
ACOT8,0.0034433017,1.0034434,enhancement
ACOT9,-0.20866154,0.79133844,suppression
ACOX1,-0.014244041,0.985756,suppression
ACOX3,0.010720326,1.0107204,enhancement
ACOXL,-0.008784066,0.99121594,suppression
ACP2,-0.0058057415,0.99419427,suppression
ACRBP,0.12597372,1.1259737,enhancement
ACSF2,-0.41195473,0.58804524,suppression
ACSF3,0.031370483,1.0313705,enhancement
ACSL6,-0.027815094,0.9721849,suppression
ACSS1,-0.19804303,0.80195695,suppression
ACSS2,-0.027059954,0.97294,suppression
ACSS3,-0.10576564,0.89423436,suppression
ACTA1,-0.1602144,0.8397856,suppression
ACTA2,-0.04915284,0.95084715,suppression
ACTB,0.00097564503,1.0009756,enhancement
ACTG1,-0.025098963,0.974901,suppression
ACTL6A,-0.056563806,0.9434362,suppression
ACTL7B,0.0844407,1.0844407,enhancement
ACTN2,0.1211054,1.1211054,enhancement
ACTN3,0.03236893,1.0323689,enhancement
ACTR10,-0.019064063,0.98093593,suppression
ACTR3B,-0.046721797,0.9532782,suppression
ACTR5,-0.02503039,0.9749696,suppression
ACTRT3,-0.073562905,0.9264371,suppression
ACVR1,-0.06220379,0.93779624,suppression
ACVR2B,0.06315943,1.0631595,enhancement
ACY3,-0.15044986,0.8495501,suppression
ACYP1,-0.07311515,0.92688483,suppression
ADAD1,-0.006142375,0.9938576,suppression
ADAM15,0.036888286,1.0368882,enhancement
ADAM17,0.08393887,1.0839388,enhancement
ADAM22,0.025426969,1.025427,enhancement
ADAM23,-0.08239104,0.917609,suppression
ADAM33,-0.007209149,0.9927909,suppression
ADAM8,-0.15019606,0.8498039,suppression
ADAMTS1,-0.26873013,0.73126984,suppression
ADAMTS10,-0.0011323555,0.99886763,suppression
ADAMTS12,0.03436451,1.0343645,enhancement
ADAMTS14,-0.057106126,0.94289386,suppression
ADAMTS15,0.016649425,1.0166495,enhancement
